website,class from llm,class from me
servicos.acesso.gov.br,1,1
hermesoft.unipamplona.edu.co,1,1
campus.unla.edu.ar,1,1
gazette.education.govt.nz,1,1
www.even3.com.br,1,3
weather.yahoo.co.jp,1,2
services.sassa.gov.za,1,1
www.oficinavirtual.opcccss.fi.cr,1,1
busca.inpi.gov.br,1,1
www.cuitonline.com,1,1
www.demarches-simplifiees.fr,1,1
www.paclii.org,1,1
www.canadapost-postescanada.ca,1,3
portal.coou.edu.ng,1,1
www.rojgarresult.com,1,2
www.sinac.go.cr,1,1
apps3.ams-sga.cra-arc.gc.ca,1,1
farmacias.pagatodo.com.do,1,1
www.doubtnut.com,1,1
web.umang.gov.in,1,1
www.google.com.eg,1,3
pje1g.trf1.jus.br,1,1
www.waikato.ac.nz,1,1
y-jesus.com,1,2
smartkyc.ikejaelectric.com,1,3
campus.sigoestudiando.com,1,1
www.immigration.govt.nz,1,1
services.tdscpc.gov.in,1,1
www.rosario.gob.ar,1,1
www.clinicabiblica.com,1,1
www.wootit.com,1,3
moncompte.ants.gouv.fr,1,1
lms-courses.mercatorum.multiversity.click,1,1
www.ucm.es,1,1
www.twinkl.co.nz,1,1
dsiapes.uv.mx,1,1
tecnicoquiche.edu.gt,1,1
portal.kwarastatepolytechnic.edu.ng,1,1
viva1a.com.co,1,1
ine.mx,1,1
www.nosi.gov.eg,1,1
glearning.genesisempresarial.org,1,1
www.educationperfect.com,1,1
uvirtual.udv.edu.gt,1,1
wol.jw.org,1,1
www.educa.jcyl.es,1,1
moodle.pau.ac.pg,1,1
siiaa-alumnos.cbachilleres.edu.mx,1,1
www.metoffice.gov.uk,1,1
saralharyana.gov.in,1,1
ewaybillgst.gov.in,1,1
www.cupsolidale.it,1,1
cursos.alura.com.br,1,1
aula.lanaenlinea.com,1,1
www.ato.gov.au,1,1
terremoti.ingv.it,1,1
certificado.ministeriodeeducacion.gob.do,1,1
translate.google.co.id,1,3
pje1g.trf3.jus.br,1,1
www.education.gouv.fr,1,1
nzf.org.nz,1,1
www.mininterno.net,1,1
www.epiccare.ie,1,1
www.sa.gov.au,1,1
rap.pnc.gob.gt,1,1
micuenta.infonavit.org.mx,1,1
pedco.uncoma.edu.ar,1,1
joaobidu.com.br,1,2
rpngc.gov.pg,1,1
www.scribd.com,1,1
www.secop.gov.co,1,1
sigepiv1.inaipi.gob.do,1,1
www.bcrcorresponsal.bancobcr.com,1,1
sis.redsys.es,1,1
www.creditmutuel.fr,1,1
www.bancodeoccidente.com.co,1,1
www.ls-tc.de,1,1
www.ecobolsa.com,1,1
articles.moonlitfinance.com,1,1
www.bancodebogota.com,1,1
mnc.mizuho-sc.com,1,1
popularenlinea.com,1,1
medupi.com,1,1
www.xe.com,1,1
www.standardbank.co.za,1,1
www1.bb.com.br,1,1
wertpapiere.ing.de,1,1
onlinebanking.standardbank.co.za,1,1
planoscelular.claro.com.br,1,3
us.etrade.com,1,1
portal.bbva.mx,1,1
www.zonebourse.com,1,1
sekai-kabuka.com,1,1
www.sigma-cap.com,1,1
onlinebanking.huntington.com,1,1
online.bbva.com.ar,1,1
www.gtc.com.gt,1,1
m.klikbca.com,1,1
netbanking.hdfcbank.com,1,1
www.avalpaycenter.com,1,1
secure.etax.com.au,1,1
sgxnifty.org,1,1
money.kompas.com,1,1
trisonet.com,1,3
www.ocu.org,1,1
www.bancoazteca.com.mx,1,1
kite.zerodha.com,1,1
icorporate.zenithbank.com,1,1
www.hsbc.co.uk,1,1
www.aforeweb.com.mx,1,1
www.oldmutual.co.za,1,1
brimo.bri.co.id,1,1
www.sunnet.sunlife.com,1,1
www.paypal.com,1,1
www.simplic.com.br,1,1
www.visa.co.cr,1,1
www.wellsfargo.com,1,1
www.nationwide.co.uk,1,1
www.bmo.com,1,1
www.vancity.com,1,1
nbcpng.com.pg,1,1
mfe-onboarding-prod.lab.innovacion.banreservas.com,1,1
secure.scotiabank.com,1,1
www.midatacredito.com,1,1
www.claro.com.br,1,3
bmonline.banquemisr.com,1,1
nsls.nambawansuper.com.pg,1,1
money.tmx.com,1,1
www.avvillas.com.co,1,1
www.unionbankonline.co.in,1,1
www1.my.commbiz.commbank.com.au,1,1
member.rakuten-sec.co.jp,1,1
www.interbanco.com.gt,1,1
accounts-extra.sageone.com,1,3
admlink.visaenlink.gt,1,3
www.pngx.com.pg,1,1
www.abcbourse.com,1,1
c3.c3consig.com.br,1,1
www.visa.com.do,1,1
secured.nedbank.co.za,1,1
secure.royalbank.com,1,1
www.bca.co.id,1,1
sbi.co.in,1,1
www.synchrony.com,1,1
www.armarinhosaojose.com.br,3,3
www.estafeta.com,3,3
carro.blog.br,3,3
loteka.com.do,3,3
repuestosgigante.com,3,3
alajuela.wanuncios.com,3,3
www.atu.de,3,3
vinsolutions.app.coxautoinc.com,3,3
drive.google.com,3,3
www.pointtown.com,3,3
ca.indeed.com,3,3
www.pedidosya.com.ar,3,3
www.mistergadget.tech,3,3
articulo.mercadolibre.co.cr,3,3
www.sheetstreet.com,3,3
www.natura.com.br,3,3
www.ziprecruiter.com,3,3
www.microsoft.com,3,3
www.deine-tierwelt.de,3,3
m.jdsports.fr,3,3
order.ebay.com.au,3,3
ar.todomoda.com,3,3
tienda.comfama.com,3,3
freeip.me,3,3
www.croma.com,3,3
stepone.life,3,3
tixel.com,3,3
fr.shopping.rakuten.com,3,3
www.officedepot.com,3,3
www.adolfodominguez.com,3,3
www.genesisenergy.co.nz,3,3
www.importacionesabu.com.gt,3,3
superette.co.nz,3,3
www.boticario.com.br,3,3
myadcenter.google.com,3,3
chickenlicken.co.za,3,3
www.gunbroker.com,3,3
www.fanatics.com,3,3
www.mercadolivre.com,3,3
www.newbalance.co.nz,3,3
pauasoftware.co.nz,3,3
www.zoopla.co.uk,3,3
www.motor13.com,3,3
www.motorola.com.mx,3,3
www.suzuki.cr,3,3
filiale.kaufland.de,3,3
www.kycport.com,3,3
www.jazztel.com,3,3
www.pisos.com,3,3
support.apple.com,3,3
www.adidas.co.uk,3,3
www.citybeach.com,3,3
www.autohero.com,3,3
www.guatemaladigital.com,3,3
www.carrefour.es,3,3
direct.asda.com,3,3
www.deporvillage.com,3,3
www.lulacloud.com,3,3
www.umart.com.au,3,3
jp.gotchamall.com,3,3
www.isseykmakeup.com,3,3
sears.com.gt,3,3
www.imovelweb.com.br,3,3
fastweb.it,3,3
melhorenvio.com.br,3,3
www.sportspar.de,3,3
www.beforward.jp,3,3
www.smythstoys.com,3,3
www.midasbuy.com,3,4
www.ebay.com.au,3,3
empleos.grupopopular.com,3,3
versus.com,3,3
www.deutschlandfunk.de,2,2
www.lesoleil.com,2,2
okdiario.com,2,2
slate.com,2,2
poinews.jp,2,2
bbsesportes.com.br,2,2
www.republicain-lorrain.fr,2,2
disway.id,2,2
www.ewn.co.za,2,2
www.soccerdigestweb.com,2,2
www.midilibre.fr,2,2
librepelota.pe,2,2
www.laopiniondezamora.es,2,2
www.iltirreno.it,2,2
alicanteplaza.es,2,2
www.fiorentinanews.com,2,2
www.trustpilot.com,2,3
www.ard-text.de,2,2
www.lr-online.de,2,2
www.diariodocentrodomundo.com.br,2,2
br.ign.com,2,2
rp-online.de,2,2
www.charentelibre.fr,2,2
placar.uol.com.br,2,2
www.calcionapoli1913.it,2,2
cnnamador.com,2,4
www.liverpoolecho.co.uk,2,2
www.dailyshincho.jp,2,2
www.yourtango.com,2,2
www.themercury.com.au,2,2
www.calciomercato.com,2,2
www.football335.com,2,2
laopinion.com,2,2
www.zakzak.co.jp,2,2
www.staseraintv.com,2,2
www.portsmouth.co.uk,2,2
www.saechsische.de,2,2
www.examinerlive.co.uk,2,2
www.nrl.com,2,2
www.nnz-online.de,2,2
www.dna.fr,2,2
www.aachener-zeitung.de,2,2
tvn14.pl,2,2
gigazine.net,2,2
semanariouniversidad.com,2,2
noticiasconcursos.com.br,2,2
www.record.com.mx,2,2
www.ynetnews.com,2,2
www.bola.net,2,2
www.seattletimes.com,2,2
iclnoticias.com.br,2,2
m.supervasco.com,2,2
www.cataniatoday.it,2,2
www.dorsetecho.co.uk,2,2
futbol-libre.info,2,2
www.teletica.com,2,2
sportando.basketball,2,2
lasillarota.com,2,2
nuevaya.com.ni,2,2
www.hulldailymail.co.uk,2,2
www.defensacentral.com,2,2
www.come-on.de,2,2
www.franceinfo.fr,2,2
amp.elperiodico.com,2,2
www.v3velugu.com,2,2
www.elesquiu.com,2,2
www.firenzetoday.it,2,2
heraldodemexico.com.mx,2,2
www.cronista.com,2,2
www.inilah.com,2,2
www.eltiempo.com,2,2
www.thetimes.com,2,2
lodynet.onl,4,4
www.toroporno.com,4,4
pwgong.com,4,4
letsgomartin.com,4,4
www.eroticiracconti.it,4,4
torino.bakecaincontrii.com,4,4
manhwadesu.team,4,4
gol87331.com,4,4
www.simonandthestars.it,4,4
forums.socialmediagirls.com,4,4
sngk.sp.mbga.jp,4,4
www.bet300.ws,4,4
love4porn.com,4,4
jitu13top.com,4,4
gwin77png.com,4,4
noutore.enjoy.point.auone.jp,4,4
www.foxybingo.com,4,4
www.analvids.com,4,4
www.3rab-naar.com,4,4
movieswood.cloud,4,4
www.mp4moviez.cv,4,4
futbollibre.mx,4,4
kt.sp.mbga.jp,4,4
www.casinodrex.com,4,4
1geki.jp,4,4
eng.cartoonsarea.cc,4,4
fullxcinema.com,4,4
de.xvideos.com,4,4
sp.nicovideo.jp,4,4
www.skycitycasino.com,4,4
emmikochteinfach.de,4,4
manhwaclan.com,4,4
www3.animeflv.net,4,4
png777.vip,4,4
www.hoyts.co.nz,4,4
arab-xnxx.com,4,4
www.cmoa.jp,4,4
www.sexylib.com,4,4
pt.cam4.com,4,4
reallysimplesocial.com,4,3
play.tvaztecaguate.com,4,4
bmw-actu.com,4,2
admin.casino-zeus.bet,4,4
cricbet99.club,4,4
with.is,4,4
www.wuxiabox.com,4,4
azarlatino1.com,4,4
video.dmm.co.jp,4,4
www.facebook.com,4,4
tienda.betplay.com.co,4,4
twitter.com,4,4
www.twickets.live,4,4
www.mp4moviez.blue,4,4
www.olympics.com,4,4
yolo.com.listcrawler.eu,4,4
mangatoto.org,4,4
m.poringa.net,4,4
animeheaven.me,4,4
www.literotica.com,4,4
4545.to,4,4
manga-oni.com,4,4
es.hentaicams.xxx,4,4
westmanga.me,4,4
suanthao-oh.com,4,4
nkiri.com,4,4
zoofilia.us,4,4
www.esm3.com,4,4
mawartotocantik.com,4,4
www.landmarkcinemas.com,4,4
kiryuu01.com,4,4
movies4u.fo,4,4
m.tab.co.za,4,4
www.jorudan.co.jp,3,3
www.vodafone.com.pg,3,3
www.chronopost.fr,3,3
www.flyaero.com,3,3
www.tui.fr,3,3
www.tripadvisor.com.mx,3,3
travel.rakuten.co.jp,3,3
b1c.voegol.com.br,3,3
voyagesarabais.com,3,3
www.airbnb.ca,3,3
clicair.co,3,3
disneyworld.disney.go.com,3,3
www.opodo.de,3,3
www.flightaware.com,3,3
www.volotea.com,3,3
www.campings.com,3,3
www.trivago.de,3,3
www.tripadvisor.com.au,3,3
viajes.naranjax.com,3,3
www.costcotravel.com,3,3
www.wingo.com,3,3
viajar.elperiodico.com,3,3
www.bahn.de,3,3
www.atrapalo.com,3,3
espace-client.orange.fr,3,3
www.skyscanner.es,3,3
www.cheapflights.co.nz,3,3
www.parcelforce.com,3,3
www.flixbus.fr,3,3
www.msccrociere.it,3,3
travel.thewom.it,3,3
www.journeys.nzta.govt.nz,3,3
www.tui.co.uk,3,3
www.rome1rio.com,3,3
www.cheapflights.com.au,3,3
bosta.co,3,3
panama-stopover.com,3,3
futura.com.mx,3,3
www.hankyu-travel.com,3,3
www.velocityfrequentflyer.com,3,3
www.pitchup.com,3,3
www.vimenpaq.do,3,3
www.getyourguide.com,3,3
www.hoteis.com,3,3
tracking.dpd.de,3,3
travel.topicbee.net,3,3
www.latamairlines.com,3,3
www.flightcentre.co.nz,3,3
www.tripadvisor.in,3,3
www.jra.go.jp,3,4
www.voegol.com.br,3,3
carview.yahoo.co.jp,3,3
www.eventim.com.br,3,4
www.aena.es,3,3
www.forzadelivery.com,3,3
www.opodo.fr,3,3
www.webjet.co.nz,3,3
www.opentable.ca,3,3
www.melhoresdestinos.com.br,3,3
www.civitatis.com,3,3
www.alaskaair.com,3,3
www.italotreno.com,3,3
www.mibus.cr,3,3
www.tripadvisor.it,3,3
www.govoyages.com,3,3
www.sunwing.ca,3,3
www.enterprise.com,3,3
www.goibibo.com,3,3
www.parkdeanresorts.co.uk,3,3
www.travelmath.com,3,3
apps.expediapartnercentral.com,3,3
romamobile.it,3,3
telematici.agenziaentrate.gov.it,1,1
accounting.moneyforward.com,1,1
duproprio.com,3,3
article.yahoo.co.jp,2,2
www.westlotto.de,4,4
www.voyage-prive.es,3,3
tdb.tanta.edu.eg,1,1
customer.payflex.co.za,1,1
www.menulog.com.au,3,3
ofuxico.com.br,2,2
fuckmoral.com,4,4
tfgm.com,3,3
www8.receita.fazenda.gov.br,1,1
portalempresas.davivienda.com,1,1
solution.soloel.com,3,3
www.somersetlive.co.uk,2,2
gp-explorer.fr,4,4
www.petitfute.com,3,3
kahoot.it,1,4
www1.my.commbiz.commbank.com.au,1,1
www.swanndri.co.nz,3,3
www.planetrugby.com,2,2
www.hentaiheroes.com,4,4
coordinadora.com,3,3
sispmb.kepriprov.go.id,1,1
nubank.com.br,1,1
www.ouestfrance-immo.com,3,3
www.inchiostroverde.it,2,2
003.play.h5saga.com,4,4
007.play.h5saga.com,4,4
01.komiku.asia,1,4
02.manhwaland.land,4,4
024jobs.com,3,3
100kina.com,4,4
109cinemas.net,4,4
10elotto5minuti.com,4,4
10play.com.au,4,4
10win21.com,4,4
11kk.love,4,4
123.waktogel.it.com,4,5
123av.com,4,4
1420001.afun.bet.br,4,4
159.games,4,4
16honeys.com,4,4
198link.lol,4,4
1ato.com,3,3
1chart.nz,1,3
1kuji.com,4,4
1win.ng,4,4
1xbet.ng,4,4
1xbethind.com,4,4
1xpng.com,4,4
1xslot.casino,4,4
1xslot.com,4,4
1xslots.casino,4,4
20bet.com,4,4
222u.com,4,4
22bet.com,4,4
22bet.ng,4,4
22job.me,3,3
247sports.com,2,2
24drama.to,4,4
24hrbets.net,4,4
24plus.ilsole24ore.com,2,2
29hokihoki.com,4,4
2b.com.eg,3,5
2shot.chat.shalove.net,4,4
302.javtogel.club,4,5
32.master.b.kakugames.com,4,4
32.play.h5legends.com,4,4
321lotto.com.pg,4,4
360kora.io,2,2
3gpking.name,4,4
3ick.onl,4,4
3isk.onl,4,4
3orod.net,3,3
3pe.babojoy.com,4,4
3rabxn.com,4,4
3reyes.casino,4,4
3sex.com,4,4
42.f.mesrter.kakugames.com,4,4
46.mark.qureka.com,1,4
49s.co.uk,4,4
49s.events,4,4
49sresult.co.za,4,4
4kporn.xxx,4,4
4kzgame.com,4,4
51.play.h5legends.com,4,4
52.gs.h5saga.com,4,4
5678games.com,4,4
58.top.n.kakugames.com,4,4
5gbet51.com,4,4
5sim.net,3,3
5xt70.com,4,4
68x.games,4,4
707bet.fun,4,4
707bet.me,4,4
777juegos.com,4,4
777tiger888.com,4,4
78.zone,4,5
7games.bet.br,4,4
7k.bet.br,4,4
7mmtv.sx,4,4
7news.com.au,2,2
7plus.com.au,2,4
86pgk.com,4,4
8moviesda.net,4,4
918kaya.latestmodapks.com,4,4
99bikes.com.au,3,3
99exch.com,4,4
99math.com,1,1
9anime.org.lv,4,4
9db.jp,4,4
9f.bet.br,4,4
9f.com,4,4
9jaflaver.com,2,2
9jarocks.net,4,4
9mod.com,4,4
9moviesda.com,4,4
9now.nine.com.au,4,4
9xflix.bike,4,4
9xflix.foo,4,4
9xflix.golf,4,4
9xflix.yoga,4,4
a001.sengokuixa.jp,4,4
a009.sengokuixa.jp,4,4
a018.sengokuixa.jp,4,4
a022.sengokuixa.jp,4,4
a05.4kzgame.com,4,4
a1.denticon.com,1,3
a24.app.gree-pf.net,4,4
a60050.app.gree-pf.net,4,4
a60462.app.gree-pf.net,4,4
a6a6.bet,4,4
a815.app.gree-pf.net,4,4
aahar.jharkhand.gov.in,1,1
aaqqbetcom.aaqqbet888.com,4,4
aaue.waeup.org,1,1
aawsat.com,2,2
abadibeton888.com,4,4
abastecidos.dospinos.com,3,3
abc.gob.ar,1,1
abcnews.go.com,2,2
abema.tv,4,4
abgbocil.baby,4,4
abgnews.baby,2,4
abgviral.baby,4,4
ablefast.com,2,2
abr.business.gov.au,1,1
abrasuaconta.santander.com.br,1,1
absensi.kemenag.go.id,1,1
abudlc-edu.ng,1,5
abudlc.vigilearnlms.com,1,1
abutogeladd.com,4,5
abutogelcenter.com,4,5
abutogeloppo.com,4,5
abxxx.com,4,4
ac5123.com,4,4
academiajacr.com,1,1
academic.ui.ac.id,1,1
acadeti.cnc.gob.gt,1,1
accept.paymobsolutions.com,1,1
accesdc.mouv.desjardins.com,1,1
acceso.prousuario.gob.do,1,1
access.paylocity.com,3,1
access.workspace.google.com,3,3
accessnoipa.mef.gov.it,1,1
account-web.winamp.io,3,3
account.alberta.ca,1,1
account.bbc.com,2,2
account.bet9ja.com,4,4
account.booking.com,3,3
account.dineplan.com,4,3
account.ezyreg.sa.gov.au,1,1
account.live.com,3,3
account.mediasetinfinity.mediaset.it,4,3
account.microsoft.com,3,3
account.patientaccess.com,1,1
account.premierleague.com,4,4
account.rewe.de,3,5
account.samsung.com,3,3
accounting.na.sageone.com,3,3
accounting.sageone.co.za,3,3
accounts.digitallocker.gov.in,1,1
accounts.dmm.co.jp,3,4
accounts.dmm.com,3,4
accounts.google.com,3,3
accounts.intuit.com,1,3
accounts.kueski.com,1,1
accounts.lidl.com,3,5
accounts.nintendo.com,4,4
accounts.o2.co.uk,3,5
accounts.qantas.com,3,3
accounts.sky.com,2,3
accounts.spotify.com,3,3
accounts.truworths.co.za,3,3
accurx.nhs.uk,1,1
accweb.mouv.desjardins.com,1,1
ace4bet.com,4,4
aceh.tribunnews.com,2,2
acento.com.do,2,2
acessounico.mec.gov.br,1,1
acontecer-dominicano.com,2,2
acordes.lacuerda.net,1,4
acspay.co.za,1,1
act.ibomma.nexus,4,4
actc.org.ar,4,4
activ.eg,3,3
activasuerte.com,4,4
activitycontentscreen.mathletics.com,1,1
actopublico.bue.edu.ar,1,1
actu.fr,2,2
actu.orange.fr,2,2
actualicese.com,1,2
actualidad.rt.com,2,2
actualite.lachainemeteo.com,2,2
acueductoscr.com,1,3
ad-contents.jp,4,4
ad.games.dmm.co.jp,4,4
ad.games.dmm.com,4,4
adenunciar.policia.gov.co,1,1
admin.agentesbet.com,4,4
admin.bet30.games,4,4
admin.bet30.space,4,4
admin.bet30.store,4,4
admin.bet30pro.com,4,4
admin.bet30pro.vip,4,4
admin.bigbasket.com,3,5
admin.celuapuestas.ink,4,4
admin.celuapuestas.xyz,4,4
admin.reliancehmo.com,1,1
admin.shopify.com,3,3
admin1.bet30.click,4,4
admin1.celuapuestas.io,4,4
administration-etrangers-en-france.interieur.gouv.fr,1,1
admisi.ub.ac.id,1,1
admisiones.unal.edu.co,1,1
admisiones.unapec.edu.do,1,1
admisiones.unimagdalena.edu.co,1,1
admission.funaab.edu.ng,1,1
admission.hnu.edu.eg,1,1
admission.must.edu.eg,1,1
admission.o6u.edu.eg,1,1
admission.veritas.edu.ng,1,1
admissionportal.coltech.co.za,1,1
admissions.nic.in,1,1
admissions.oauife.edu.ng,1,1
admissions.pau.ac.pg,1,1
admissions.sonoma.ac.pg,1,1
admissions.ui.edu.ng,1,1
admissions.westerncape.gov.za,1,1
admissionswesterncape.datafree.co,1,1
admob.google.com,3,3
adobe.dlhnunukan.org,1,2
adrenaline.com.ar,4,3
ads.apigacor88-aax.com,4,4
ads.google.com,3,3
adsl.free.fr,3,3
adsmanager.facebook.com,3,3
adsvera.ng,3,3
adult-machiko.com,4,4
adult.contents.fc2.com,4,4
adult.noodlemagazine.com,4,4
adultfriendfinder.com,4,4
adultsearch.com,4,4
adulttoymegastore.co.nz,4,4
adv.pornhdmate.com,4,4
advisors.investia.ca,1,1
ae.bappamtv.com,4,5
aeropost.com,3,3
af.m.wikipedia.org,1,1
aflamsexx.com,4,4
aflamsx.com,4,4
afpcrecer.com.do,1,1
afr.808ball2.com,4,4
afr.score808.tv,4,4
africa.businessinsider.com,2,2
africa.espn.com,2,2
africastoreas.com,3,3
afrohouseking.com,4,4
afun.bet.br,4,4
afun.mx,4,4
agam66sip.com,4,4
agd.una.ac.cr,1,1
agelessozzies.com,4,4
agenciabrasil.ebc.com.br,2,1
agenciapublicadeempleo.sena.edu.co,1,1
agenciasway.com.gt,3,1
agenciavirtual.sabesp.com.br,1,1
agendacitas.cancilleria.gov.co,1,1
agendaweb.org,1,1
agentes.zeuscasino.win,4,4
agents.credigo.do,1,1
agents.credigo.gt,1,1
agents.ganamos.co,4,4
agents.premierlottong.com,4,4
agibank.com.br,1,1
agn.gt,2,2
agnipathvayu.cdac.in,1,1
agora.unicef.org,1,1
agora.xtec.cat,1,1
agrisur.fr,1,3
agroexpo.com,3,3
ahoramardelplata.com.ar,2,2
aibs.appluscorp.com,3,3
aida.de,3,3
aiia.jang-keun-suk-game.com,4,4
aires17.pusat4dlaris.com,4,4
airg.com,3,3
ais.usvisa-info.com,1,1
aissfa.ccss.sa.cr,1,1
aistudio.google.com,3,3
ajeworld.com.au,3,3
ak.sv,4,4
akatoi.careerforce.org.nz,1,1
akupintar.id,1,1
al-ain.com,2,2
al-in.fr,3,1
alangulotv.blog,4,4
alangulotv.cloud,4,4
alarbda.com,4,4
alcalaresidenciales.com.gt,3,3
alecto.cput.ac.za,1,5
aleqaria.com.eg,2,2
alexisabomination.com,4,5
alexislogiclab.com,3,5
alfakarir.alfamart.co.id,3,3
alfalearning.sat.co.id,1,1
aliat.brightspace.com,1,1
alightcreative.com,3,3
alison.com,1,1
aliss.cr,3,3
aliss.do,3,3
alistamento.eb.mil.br,1,1
alkhaleejpress.com,2,2
allabout.co.jp,1,2
alloggiatiweb.poliziadistato.it,1,1
ally43.fr,2,2
almomento.net,2,2
aloalobahia.com,2,2
alpha.com.do,1,1
alprestamo.ar,1,1
altibbi.com,1,1
altmisnews.com,2,2
alumno.conalep.edu.mx,1,1
alumno2.unlam.edu.ar,1,1
alumnos.goquiz.es,1,1
alumnos.intecap.edu.gt,1,1
alumnos.liceojavier.edu.gt,1,1
alumnos.uat.edu.mx,1,1
aluno.uninassau.edu.br,1,1
alunoonline.aquivocepode.com.br,1,1
amadita.com,1,1
amazingstudy.odaclass.com,1,1
ameliarueda.com,2,2
americansongwriter.com,2,2
amp.9news.com.au,2,2
amp.abc.net.au,2,2
amp.antena3.com,2,2
amp.cnn.com,2,2
amp.elmundo.es,2,2
amp.lasexta.com,2,2
amp.marca.com,2,2
amp.mediotiempo.com,2,2
amp.milenio.com,2,2
amp.nine.com.au,2,2
amp.romatoday.it,2,2
amp.sport.es,2,2
amp.telediario.cr,2,2
amp.telva.com,2,2
amp.tgcom24.mediaset.it,2,2
amp.today.it,2,2
amp.ultimahora.es,2,2
amwalalghad.com,2,2
anc.ca.apm.activecommunities.com,1,3
andaluciainforma.eldiario.es,2,2
andeenlinea.ande.cr,1,1
animaltrace.nait.co.nz,1,1
annuaire-entreprises.data.gouv.fr,1,1
annuairesante.ameli.fr,1,1
apnews.com,2,2
ar.elbadil.com,2,2
ar.motor1.com,2,2
ar.search.yahoo.com,2,2
arabic.cnn.com,2,2
arabic.rt.com,2,2
arbc-news.vazo.online,2,2
areatalkreprts.com,2,2
aristeguinoticias.com,2,2
armyrecognition.com,2,2
article.auone.jp,2,2
as.com,2,2
ascii.jp,2,2
asharqbusiness.com,2,2
asianwiki.com,2,4
athlonsports.com,2,2
atlassport.ps,2,2
atomix.vg,2,4
atrocidades18.net,2,2
au.images.search.yahoo.com,2,3
au.news.yahoo.com,2,2
au.trustpilot.com,2,3
authentication.dstv.com,2,4
avis-de-deces.ouest-france.fr,2,2
avis-deces.linternaute.com,2,2
b.hatena.ne.jp,2,2
banjarmasin.tribunnews.com,2,2
bansalnews.com,2,2
banyuwangi.viva.co.id,2,2
barcauniversal.com,2,2
bari.repubblica.it,2,2
baseball.yahoo.co.jp,2,2
bato.to,2,4
bbsesportes-com.jogos.app,2,2
beebom.com,2,4
beteve.cat,2,2
bhiwanihalchal.com,2,2
bichosdecampo.com,2,2
bigcomics.jp,2,2
blog.corporacionbi.com,2,2
blog.esuteru.com,2,5
blog.goo.ne.jp,2,5
blog.livedoor.jp,2,5
bloodyelbow.com,2,2
bnn.de,2,2
bola.kompas.com,2,2
bola.okezone.com,2,2
bolavip.com,2,2
bologna.repubblica.it,2,2
br.bolavip.com,2,2
br.search.yahoo.com,2,3
brasil.perfil.com,2,2
briefly.co.za,2,2
bsnsports.com.ng,2,2
bunshun.jp,2,2
businessday.ng,2,2
businessdesk.co.nz,2,2
businesstech.co.za,2,2
c.ledauphine.com,2,2
c.leprogres.fr,2,2
c.newsnow.co.uk,2,2
c.newsnow.com,2,2
ca.news.yahoo.com,2,2
ca.sports.yahoo.com,2,2
ca.yahoo.com,2,2
cadenaser.com,2,2
calgaryherald.com,2,2
campeones.com.ar,2,2
canales.diariovasco.com,2,2
canaltech.com.br,2,2
canchallena.lanacion.com.ar,2,2
capitalist.com.br,2,2
caracol.com.co,2,2
caras.com.br,2,2
caras.perfil.com,2,2
caribe18.com,2,5
carpetasfcb.com,2,2
catalunyadiari.com,2,2
catracalivre.com.br,2,2
cbn.globo.com,2,2
cdn.com.do,2,2
cdndeportes.com.do,2,2
celebrity.nine.com.au,2,2
centredevils.co.uk,2,2
cheknews.ca,2,2
chelsea.news,2,2
chelseanews.com,2,2
chequeado.com,2,2
chl.ca,2,2
cincodias.elpais.com,2,2
citytv.eltiempo.com,2,2
clickpetroleoegas.com.br,2,2
cnnespanol.cnn.com,2,2
co.search.yahoo.com,2,2
colombia.as.com,2,2
colombia.eleicoes.org,2,2
colorvision.com.do,2,2
columbia.co.cr,2,2